"Linear static analysis of 15ft Groovik's Cube (kips,in)",,,,,,,,,,,,
,,,,,,,,,,,,
# Joint data ?,,,,,,,,,,,,
66,# number of joints,,,,,,,,,,,
#joint,x,y,z,r,units: inches,,,,,,,
89,53,57,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
90,54,58,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
91,55,59,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
92,56,60,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
93,57,61,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
94,58,62,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
95,59,63,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
96,60,64,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
97,1,17,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
98,2,18,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
99,3,19,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
100,4,20,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
101,5,21,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
102,6,22,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
103,7,23,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
104,8,24,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
105,9,25,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
106,10,26,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
107,11,27,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
108,12,28,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
109,13,29,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
110,14,30,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
111,15,31,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
112,16,32,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
113,17,33,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
114,18,34,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
115,19,35,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
116,20,36,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
117,21,37,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
118,22,38,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
119,23,39,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
120,24,40,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
121,25,41,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
122,26,42,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
123,27,43,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
124,28,44,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
125,29,45,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
126,30,46,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
127,31,47,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
128,32,48,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
129,33,49,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
130,34,50,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
131,35,51,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
132,36,52,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
133,37,53,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
134,38,54,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
135,39,55,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
136,40,56,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
137,41,57,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
138,42,58,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
139,43,59,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
140,44,60,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
141,45,61,0.809,0.5,0.5,0.0102,0.547,0.547,10000,3800,0,2.50E-07
